,mSA,iou_threshold,projection,box_extension
250,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.2
251,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.225
252,0.0,0.7,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.25
253,0.0037965860535354987,0.7,single_point,0.0
254,0.0037965860535354987,0.7,single_point,0.025
255,0.0037965860535354987,0.7,single_point,0.05
256,0.0037965860535354987,0.7,single_point,0.075
257,0.0037965860535354987,0.7,single_point,0.1
258,0.0037965860535354987,0.7,single_point,0.125
259,0.0037965860535354987,0.7,single_point,0.15
260,0.0037965860535354987,0.7,single_point,0.175
261,0.0037965860535354987,0.7,single_point,0.2
262,0.0037965860535354987,0.7,single_point,0.225
263,0.0037965860535354987,0.7,single_point,0.25
264,0.001512292738707833,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.0
265,0.001895401391778463,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.025
266,0.003811055354912704,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.05
267,0.003811055354912704,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.075
268,0.003811055354912704,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.1
269,0.003811055354912704,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.125
270,0.003811055354912704,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.15
271,0.0034235264730432063,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.175
272,0.0038081083672178787,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.2
273,0.0038081083672178787,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.225
274,0.0034235264730432063,0.8,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.25
275,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.0
276,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.025
277,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.05
278,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.075
279,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.1
280,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.125
281,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.15
282,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.175
283,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.2
284,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.225
285,0.0045775608039758985,0.8,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.25
286,0.006559227149354222,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.0
287,0.004991666599677919,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.025
288,0.005376248493852591,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.05
289,0.00459509062170659,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.075
290,0.00459509062170659,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.1
291,0.006178695199278947,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.125
292,0.004991666599677919,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.15
293,0.00459509062170659,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.175
294,0.004201565228181198,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.2
295,0.005775910666205017,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.225
296,0.006178695199278947,0.8,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.25
297,0.0,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.0
298,0.0,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.025
299,0.0,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.05
300,0.0,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.075
301,0.0011450381679389313,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.1
302,0.0030622093533385977,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.125
303,0.003073975832596522,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.15
304,0.003085833085833086,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.175
305,0.0030622093533385977,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.2
306,0.0030505326096421214,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.225
307,0.0030622093533385977,0.8,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.25
308,0.0,0.8,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.0
309,0.003038944578868533,0.8,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.025
310,0.003811055354912704,0.8,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.05
311,0.003811055354912704,0.8,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.075
312,0.003811055354912704,0.8,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.1
313,0.0034235264730432063,0.8,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.125
314,0.003038944578868533,0.8,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.15
